QCODEID,MCODE,LCODE,RID,FIELDNAME,FROM_DATE,TO_DATE,DATETYPE,QCODE,CONTINUING,SITECODE,DESCRIPTION
6442,MA,1,,,17-Jun-2008,17-Jun-2008,D,4622,N,T06,"09:30 to 11:00 : Grass around AWS was cut. New cutting regime, the grass is to be cut more regularly, at same time as main weather station, rather than twice a year in June and October to coincide with Park Grass."
6443,MA,1,,,22-Jul-2008,22-Jul-2008,D,4623,N,T06,16:30: Grass around AWS was cut.
6444,MA,1,,,12-Aug-2008,12-Aug-2008,D,4624,N,T06,15:45: Grass around AWS was cut.
6445,MA,1,,,21-Aug-2008,21-Aug-2008,D,4625,N,T06,14:00 to 15:00 : Changed silica gel to net-radiometer and Kipp solarimeter; cleaned domes.
6446,MA,1,,,22-Aug-2008,22-Aug-2008,D,4626,N,T06,09:00 to 10:00 : Replaced battery units.
6447,MA,1,,,26-Aug-2008,26-Aug-2008,D,4627,N,T06,15:30 to 16:00: Grass around AWS was cut.
6448,MA,1,,,10-Sep-2008,10-Sep-2008,D,4627,N,T06,15:30 to 16:00: Grass around AWS was cut.
6449,MA,1,,,22-Sep-2008,22-Sep-2008,D,4627,N,T06,15:30 to 16:00: Grass around AWS was cut.
6489,MA,1,,WETTMP,31-Oct-2008,31-Dec-2008,R,4642,N,T06,At various times the wet bulb reading is higher than the dry bulb; probable cause wet bulb wick frozen.
6928,MA,1,,WETTMP,09-Apr-2009,09-Apr-2009,D,4695,N,T06,08:00 to 09:00 - changed wet bulb wick.
6929,MA,1,,,20-Apr-2009,20-Apr-2009,D,4696,N,T06,08:15 to 08:35 - grass cut.
6930,MA,1,,,15-Jun-2009,15-Jun-2009,D,4697,N,T06,08:00 to 16:00 - grass cut with different equipment during day.
6931,MA,1,,,01-Jan-2009,30-Jun-2009,R,4698,N,T06,"Wet bulb found to be higher than dry bulb on occasion: values not deleted.  
Possible that wet bulb frozen or dried out."
7335,MA,1,,,26-Aug-2009,26-Aug-2009,D,4826,N,T06,Grass was cut
7336,MA,1,,,07-Oct-2009,07-Oct-2009,D,4827,N,T06,Found rain gauge blocked - moved reading of water in funnel to 09:00 day 280 (7-Oct-2008) as there had been no rain between the hours of  09:00 and       13:00 - don't know when blockage occurred but funnel was empty at 09:00 day 278 (5-Oct-2009).
7337,MA,1,,,19-Oct-2009,19-Oct-2009,D,4828,N,T06,09:00 to 10:00 replaced silica gel to net radiometer and pyranometer ; cleaned domes.
7338,MA,1,,,01-Dec-2009,01-Dec-2009,D,4829,N,T06,09:00 to 10:00 replaced wet bulb wick.
